food_code,food_name,meal_type,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit
BFP250,Jackfruit kofta curry (Kathal ka kofta curry),"lunch,dinner",bfp_manual,1321.428467,321.0828247,3.166533947,0.804482877,33.83210373,2.395187855,0.964221179,4279.446289,6978.521973,21145.48047,3.53877306,11.36447811,10.96858501,8.781300545,40.03742981,79.5918045,0.244328633,0.047642019,0.293631554,0.001532669,0.138428539,0.013462,0.082590833,7.137526035,16.4573307,2.111039877,0.005598059,11.08328438,0.097366244,8.428828239,0.015737478,0.011051236,0.13799043,0.07686349,0.054064456,1.032585979,8.428828239,3.663753986,460.0597229,bowl
BFP257,Spinach and potato (Palak aloo),"lunch,dinner",bfp_manual,237.6451111,57.17095566,5.912322044,1.629987478,2.819675446,0.933749139,2.037847996,394.9471436,532.9475098,1712.178101,0,43.6739006,31.33856583,49.43586731,62.45978546,457.278656,1.586564898,0.116132081,1.148102045,0.014076069,0.631039381,0.010444955,0.330632061,0,1.810647845,2.067839861,0,150.6856384,0,72.21886444,0.097018711,0.052530665,0.509370625,0.247985616,0.116856664,2.560133219,72.21886444,23.49477005,5207.786133,bowl
BFP258,Mooli bhujia,"lunch,dinner",bfp_manual,381.6823425,91.20166779,4.744147778,1.686920643,7.250315666,1.071142554,2.356360912,903.0907593,4077.91626,1643.666382,0,131.8755035,41.21192551,40.40750885,89.73052216,282.5989685,2.365452051,0.17924957,16.74332237,0.028198518,0.734842241,0.047374256,0.384906262,0,0.079649732,1.122574806,0,96.46302795,0,38.23566055,0.044613447,0.07696452,0.408596426,0.156385943,0.12709102,3.169931889,38.23566055,40.70710373,4782.40625,bowl
BFP259,Bathua bhujia,"lunch,dinner",bfp_manual,380.4223938,90.90053558,3.630348682,2.263979435,7.288114071,1.078702211,3.802787542,908.6647949,4068.549561,1670.720093,0,165.8438568,36.77436829,43.74386597,81.98684692,387.9311218,2.360412359,0.101132452,1.119897127,0.001739492,1.450495839,0.034774721,0.823370159,0,0.225804359,1.172973037,0,171.9342499,0,36.12398148,0.054693077,0.391952932,0.504352868,0.357978523,0.157329902,1.277481556,36.12398148,33.56568527,2695.519775,bowl
BFP261,Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),snack,bfp_manual,592.1436157,142.4750519,6.09401989,8.206126213,9.358618736,1.260119081,1.83602047,3823.560303,2935.258789,1905.267456,32.90439224,31.53755379,92.25421143,20.93478394,118.0532761,252.5702362,0.979990363,0.075066142,1.191209316,0.00273626,0.278977752,0.030066146,1.433243513,24.84666252,1.339007139,0.719692707,0,43.53343964,0,22.86099815,0.069862895,0.094429947,1.944260478,0.499377042,0.153187007,1.652754664,22.86099815,15.26279163,206.2429352,roll
BFP262,Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),"lunch,dinner",bfp_manual,518.7514648,124.6274872,7.032143593,5.75963068,8.167663574,3.806499004,2.351865053,2530.89624,2248.068604,2858.409912,18.78862762,29.82382393,75.46633911,26.40521812,123.9843445,425.855957,0.948528349,0.141071633,0.931064069,0.002127249,0.325854957,0.026095316,0.97599709,14.18761158,3.204123259,0.587130547,0,26.14461899,0,23.37618065,0.24566406,0.080585428,1.887221932,0.333877206,0.156977057,2.44760704,23.37618065,18.48176575,499.7816467,roll
BFP263,Dry arbi (Sookhi arbi),"lunch,dinner",bfp_manual,558.9086914,134.9450531,11.1065855,2.116119862,8.966598511,1.551448226,2.473216534,1098.137207,1839.850342,5631.38623,0,22.76901817,50.67097092,25.75684166,81.24510193,322.9049683,0.681150615,0.180366427,0.230183467,0.00619298,0.409791112,0.049354404,0.307899207,0,4.501869678,1.319345474,0,5.912807465,0,16.33182144,0.043197565,0.023069445,0.39588213,0.136634424,0.122002594,2.358816624,16.33182144,4.044879913,514.9962769,bowl
BFP264,Masala arbi,"lunch,dinner",bfp_manual,768.0505981,185.3769379,16.15777206,3.007230043,11.90277958,0.810939908,3.099414825,1448.020264,2417.550293,7464.847656,0,32.08297348,74.01738739,35.1897049,261.3064575,467.5267639,0.993647814,0.272785336,0.285806507,0.008396453,0.472499579,0.063694268,0.399414688,0,6.0159235,0.312747478,0,3.953348398,0,17.31735229,0.05448442,0.031330694,0.506326377,0.107677735,0.155921847,3.179376841,17.31735229,1.631089687,98.55826569,bowl
BFP266,Peas brinjal bhartha (Matar baingan bhartha),"lunch,dinner",bfp_manual,350.003479,84.54545593,5.018434525,2.051243067,6.051887989,1.573627472,3.630924702,751.3745117,1205.358398,3769.394531,0,19.62562943,33.02040863,22.00049019,63.65240479,224.0141754,0.625016272,0.114903122,0.230442926,0.004099247,0.213637024,0.017579393,0.322326213,0,2.923602581,3.58297205,0,19.00836754,0,31.52411461,0.077501051,0.074144155,0.591866493,0.320012242,0.091574885,1.936171174,31.52411461,10.64620781,1160.046997,small bowl
BFP269,Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),"lunch,dinner",bfp_manual,457.7266541,110.8084793,4.503156185,1.830407619,9.27352047,1.424852729,3.569150448,1153.172363,1883.921753,5827.367188,0,67.883255,49.02242279,52.60093689,92.77507782,233.0348053,0.88419503,0.11970783,0.813334167,0.004663641,0.290804982,0.037874233,0.408239156,0,4.818519115,5.571495056,0,17.15552521,0,51.26516342,0.036912348,0.054091018,0.525279522,0.25825116,0.216424197,1.615035534,51.26516342,17.47865677,927.8766479,bowl
BFP270,Crispy okra/Crispy lady's fingers (Karare bhindi),"lunch,dinner",bfp_manual,2707.491699,657.7600708,4.348548412,1.911816239,70.39558411,0.260495991,1.753399014,8460.501953,14440.07227,44532.29297,0,27.6122551,27.92822838,20.55506897,40.4163475,90.13566589,0.558672488,0.058935083,0.477286667,0.001380744,0.181495264,0.009044493,0.213997096,0,34.73259735,1.7598176,0,10.34799385,0,26.27078819,0.037293948,0.028993437,0.285295397,0.139533192,0.092939466,0.861750543,26.27078819,5.292633057,332.2348633,small bowl
BFP272,Beans foogath,"lunch,dinner",bfp_manual,435.9850464,105.0645905,3.259004116,2.025356293,9.221795082,1.695457935,4.146625042,3045.028076,1404.535889,3683.602539,0,44.19765091,42.51807785,30.98254967,81.22497559,259.2912292,0.953430474,0.095720597,0.416652858,0.003974996,0.290375888,0.03974168,0.351372182,0,3.034796476,2.722312212,0,16.08196259,0,47.49674225,0.042858642,0.04493735,0.599236667,0.232061595,0.320099354,4.231180191,47.49674225,3.51207757,1251.992676,small bowl
BFP273,Stuffed bittergourd (wet) (Bharwa karele),"lunch,dinner",bfp_manual,669.4985352,162.3615417,4.6799016,1.363472223,15.24490738,1.952813387,2.86055541,1900.968628,3100.731445,9587.566406,0,17.24680138,34.60995483,24.19333649,360.0853577,246.1535645,0.914241731,0.091209173,2.79245615,0.007858631,0.349262476,0.031955007,0.346899092,0,7.42850256,1.206676006,0,4.989397526,0,40.30498886,0.044759378,0.026090626,0.284490943,0.246732935,0.064182274,4.347735882,40.30498886,29.99488068,303.6265869,bowl
BFP274,Jackfruit/Kathal (dry),"lunch,dinner",bfp_manual,2012.049438,488.974762,4.564837456,0.929660141,51.78341293,3.548852205,1.328516841,6230.402832,10621.65234,32777.54688,0,12.7855196,11.05694866,11.70802498,33.68412399,106.2555084,0.333018899,0.068520539,0.031168548,0.002082868,0.170239955,0.015100741,0.092725992,0,25.49843597,2.741516352,0,15.87950325,0,11.44733429,0.019982003,0.007640975,0.187618837,0.081068434,0.074862234,1.262552023,11.44733429,4.492999077,470.9555054,bowl
